primary_id,species,genotype,,,,,
661-M1,Selysi,M,,,,,
661-M2,Selysi,M,,,,,
CO54-M1,Selysi,P,,,,,
CO54-M2,Selysi,P,,,,,
FF08-M1,Selysi,M,,,,,
FF08-M2,Selysi,M,,,,,
FF14-M1,Selysi,P,,,,,
FF14-M2,Selysi,P,,,,,
FF15-M1,Selysi,P,,,,,
FF15-M2,Selysi,P,,,,,
FF23-M1,Selysi,M,,,,,
FF23-M2,Selysi,M,,,,,
M08-M1,Selysi,M,,,,,
M08-M2,Selysi,M,,,,,
M13-M1,Selysi,P,,,,,
M13-M2,Selysi,P,,,,,
M36-M1,Selysi,P,,,,,
M36-M2,Selysi,P,,,,,
M52-M1,Selysi,M,,,,,
M52-M2,Selysi,M,,,,,
SARD01-M1,Cinerea,M,,,,,
SARD11-M1,Backcross,M,,,,,
SARD11-M2,Cinerea,M,,,,,
SARD12-M1,Cinerea,M,,,,,
SARD12-M2,Backcross,M,,,,,
SARD15-M1,Backcross,P,,,,,
SARD15-M2,Hybrid,P,,,,,
SARD17-M1,Cinerea,M,,,,,
SARD17-M2,Cinerea,M,,,,,
SARD18-M1,Cinerea,M,,,,,
SARD18-M2,Cinerea,M,,,,,
SARD19-M1,Cinerea,M,,,,,
SARD19-M2,Cinerea,M,,,,,
SARD20-M1,Cinerea,M,,,,,
SARD20-M2,Backcross,M,,,,,
SEVI01-M1,Cinerea,P,,,,,
SEVI01-M2,Cinerea,P,,,,,
SEVI02-M1,Cinerea,P,,,,,
SEVI02-M2,Cinerea,P,,,,,
SEVI03-M1,Cinerea,P,,,,,
SEVI03-M2,Cinerea,P,,,,,
SEVI05-M1,Backcross,P,,,,,
SEVI05-M2,Cinerea,P,,,,,
SFUL04-M1,Backcross,P,,,,,
SFUL04-M2,Backcross,P,,,,,
SFUL05-M1,Backcross,P,,,,,
SFUL05-M2,Cinerea,P,,,,,
SFUL09-M1,Backcross,P,,,,,
SFUL09-M2,Cinerea,P,,,,,
SFUL10-M1,Cinerea,P,,,,,
SFUL11-M1,Cinerea,M,,,,,
SFUL11-M2,Cinerea,M,,,,,
SFUL12-M1,Backcross,M,,,,,
SFUL12-M2,Backcross,M,,,,,
SFUL13-M1,Backcross,P,,,,,
SFUL13-M2,Backcross,P,,,,,
SFUL14-M1,Cinerea,P,,,,,
SFUL14-M2,Cinerea,P,,,,,
SLEO01-M1,Cinerea,P,,,,,
SLEO01-M2,Backcross,P,,,,,
SLEO03-M1,Cinerea,P,,,,,
SLEO03-M2,Cinerea,P,,,,,
SLEO04-M1,Cinerea,P,,,,,
SLEO04-M2,Cinerea,P,,,,,
SLEO05-M1,Cinerea,P,,,,,
SLEO05-M2,Backcross,P,,,,,
SLEO06-M1,Cinerea,P,,,,,
SLEO06-M2,Cinerea,P,,,,,
SLEO07-M1,Cinerea,P,,,,,
SLEO07-M2,Cinerea,P,,,,,
SLEO08-M1,Backcross,P,,,,,
SLEO08-M2,Backcross,P,,,,,
SMAR12-M1,Cinerea,M,,,,,
SMAR12-M2,Cinerea,M,,,,,
SMAR17-M1,Cinerea,M,,,,,
SMAR17-M2,Cinerea,M,,,,,
SMAR18-M1,Cinerea,M,,,,,
SMAR18-M2,Cinerea,M,,,,,
SMAR19-M1,Hybrid,M,,,,,
SMAR21-M1,Cinerea,M,,,,,
SMAR21-M2,Cinerea,M,,,,,
SMAR23-M1,Selysi,M,,,,,
SMAR23-M2,Selysi,M,,,,,
SMON02-M1,Backcross,P,,,,,
SMON02-M2,Backcross,P,,,,,
SMON07-M1,Backcross,P,,,,,
SMON12-M1,Backcross,P,,,,,
SMON12-M2,Cinerea,P,,,,,
SMON14-M1,Backcross,M,,,,,
SMON14-M2,Backcross,M,,,,,
SMON15-M1,Backcross,M,,,,,
SMON17-M1,Backcross,M,,,,,
SMON17-M2,Backcross,M,,,,,
SMON18-M1,Cinerea,M,,,,,
SMON18-M2,Backcross,M,,,,,
SMON23-M1,Hybrid,P,,,,,
SMON23-M2,Backcross,P,,,,,
SMON26-M1,Backcross,M,,,,,
SMON26-M2,Backcross,M,,,,,
SMON27-M1,Backcross,M,,,,,
SMON27-M2,Backcross,M,,,,,
SNAT03-M1,Selysi,P,,,,,
SNAT03-M2,Selysi,P,,,,,
SNAT04-M1,Selysi,P,,,,,
SNAT04-M2,Selysi,P,,,,,
SNAT11-M1,Cinerea,M,,,,,
SNAT11-M2,Cinerea,M,,,,,
SNAT12-M1,Selysi,M,,,,,
SNAT12-M2,Selysi,M,,,,,
SNAT14-M1,Selysi,P,,,,,
SNAT14-M2,Selysi,P,,,,,
SNAT15-M1,Selysi,M,,,,,
SNAT15-M2,Selysi,M,,,,,
SNAT16-M1,Selysi,P,,,,,
SNAT16-M2,Selysi,P,,,,,
SRID01-M1,Selysi,P,,,,,
SRID01-M2,Selysi,P,,,,,
SRID08-M1,Selysi,P,,,,,
SRID08-M2,Selysi,P,,,,,
SRID10-M1,Selysi,P,,,,,
SRID10-M2,Selysi,P,,,,,
SRID12-M1,Selysi,P,,,,,
SRID12-M2,Selysi,P,,,,,
SRID13-M1,Selysi,P,,,,,
SRID13-M2,Cinerea,P,,,,,
SRID14-M1,Selysi,P,,,,,
SRID14-M2,Selysi,P,,,,,
SRID17-M1,Selysi,P,,,,,
SRID17-M2,Selysi,P,,,,,
SRID18-M1,Selysi,P,,,,,
SRID18-M2,Selysi,P,,,,,
SSAI12-M1,Backcross,P,,,,,
SSAI12-M2,Backcross,P,,,,,
SSAI14-M1,Backcross,M,,,,,
SSAI15-M1,Cinerea,M,,,,,
SSAI15-M2,Cinerea,M,,,,,
SSAI16-M1,Cinerea,M,,,,,
SSAI16-M2,Cinerea,M,,,,,
SSIO01-M1,Cinerea,P,,,,,
SSIO02-M1,Cinerea,M,,,,,
SSIO03-M1,Cinerea,M,,,,,
SSIO03-M2,Cinerea,M,,,,,
SSIO04-M1,Cinerea,M,,,,,
SSIO04-M2,Cinerea,M,,,,,
SSIO06-M1,Cinerea,M,,,,,
SSIO06-M2,Cinerea,M,,,,,
SSIO07-M1,Cinerea,P,,,,,
SVIS06-M1,Selysi,M,,,,,
SVIS06-M2,Selysi,M,,,,,
SVIS09-M1,Selysi,M,,,,,
SVIS09-M2,Selysi,M,,,,,
SVIS10-M1,Cinerea,M,,,,,
SVIS10-M2,Cinerea,M,,,,,
SVIS11-M1,Selysi,M,,,,,
SVIS11-M2,Selysi,M,,,,,
661-A,Selysi,MM
661-B,Selysi,MM
CO54-A,Selysi,MP
CO54-B,Selysi,MP
FF08-A,Selysi,MM
FF08-B,Selysi,MM
FF14-A,Selysi,MP
FF14-B,Backcross,MP
FF15-A,Selysi,MP
FF15-B,Selysi,MP
FF23-A,Selysi,MM
FF23-B,Selysi,MM
M08-A,Selysi,MM
M08-B,Selysi,MM
M13-A,Selysi,MP
M13-B,Selysi,MP
M36-A,Selysi,MP
M36-B,Selysi,MP
M52-A,Selysi,MM
M52-B,Selysi,MM
SARD01-A,Backcross,MM
SARD01-B,Cinerea,MM
SARD11-A,Cinerea,MM
SARD11-B,Cinerea,MM
SARD12-A,Backcross,MM
SARD12-B,Backcross,MM
SARD13-A,Cinerea,MM
SARD13-B,Backcross,MM
SARD14-A,Cinerea,MM
SARD14-B,Cinerea,MM
SARD15-A,Backcross,PP
SARD15-B,Cinerea,PP
SARD16-A,Cinerea,MM
SARD16-B,Backcross,MM
SARD17-A,Cinerea,MM
SARD17-B,Cinerea,MM
SARD18-A,Cinerea,MM
SARD18-B,Cinerea,MM
SARD19-A,Cinerea,MM
SARD19-B,Backcross,MM
SARD20-A,Backcross,MM
SARD20-B,Cinerea,MM
SARD21-A,Backcross,MM
SARD21-B,Cinerea,MM
SEVI01-A,Cinerea,MP
SEVI01-B,Cinerea,MP
SEVI02-A,Cinerea,PP
SEVI02-B,Cinerea,MP
SEVI03-A,Cinerea,PP
SEVI03-B,Cinerea,PP
SEVI04-A,Backcross,MP
SEVI04-B,Backcross,PP
SEVI05-A,Backcross,PP
SEVI05-B,Cinerea,PP
SFUL02-A,Cinerea,PP
SFUL02-B,Backcross,MP
SFUL04-A,Backcross,MP
SFUL04-B,Backcross,MP
SFUL05-A,Backcross,MP
SFUL05-B,Cinerea,MP
SFUL08-A,Backcross,MM
SFUL08-B,Backcross,MM
SFUL09-A,Cinerea,MP
SFUL09-B,Cinerea,MP
SFUL10-A,Cinerea,MP
SFUL10-B,Backcross,MP
SFUL11-A,Backcross,MM
SFUL11-B,Cinerea,MM
SFUL12-A,Cinerea,MM
SFUL12-B,Cinerea,MM
SFUL13-A,Cinerea,PP
SFUL13-B,Cinerea,MP
SFUL14-A,Cinerea,PP
SFUL14-B,Cinerea,PP
SLEO01-A,Cinerea,PP
SLEO01-B,Cinerea,MP
SLEO03-A,Backcross,MP
SLEO03-B,Hybrid,MP
SLEO04-A,Cinerea,MP
SLEO04-B,Cinerea,MP
SLEO05-A,Cinerea,MP
SLEO05-B,Cinerea,MP
SLEO06-A,Cinerea,PP
SLEO06-B,Cinerea,PP
SLEO07-A,Cinerea,PP
SLEO07-B,Cinerea,PP
SLEO08-A,Cinerea,MP
SLEO08-B,Cinerea,MP
SMAR06-A,Hybrid,MM
SMAR06-B,Hybrid,MM
SMAR07-A,Hybrid,MM
SMAR07-B,Hybrid,MM
SMAR12-A,Backcross,MM
SMAR12-B,Cinerea,MM
SMAR16-A,Selysi,MP
SMAR16-B,Backcross,MP
SMAR17-A,Backcross,MM
SMAR17-B,Backcross,MM
SMAR18-A,Cinerea,MM
SMAR18-B,Cinerea,MM
SMAR19-A,Backcross,MM
SMAR19-B,Cinerea,MM
SMAR21-A,Hybrid,MM
SMAR21-B,Hybrid,MM
SMAR22-A,Hybrid,MM
SMAR22-B,Hybrid,MM
SMAR23-A,Selysi,MM
SMAR23-B,Selysi,MM
SMON02-A,Cinerea,MP
SMON02-B,Backcross,MP
SMON07-A,Backcross,PP
SMON07-B,Hybrid,MP
SMON12-A,Backcross,MP
SMON12-B,Backcross,MP
SMON14-A,Cinerea,MM
SMON14-B,Backcross,MM
SMON15-A,Hybrid,MM
SMON15-B,Hybrid,MM
SMON17-A,Backcross,MM
SMON17-B,Backcross,MM
SMON18-A,Backcross,MM
SMON18-B,Hybrid,MM
SMON23-A,Cinerea,MP
SMON23-B,Backcross,MP
SMON26-A,Cinerea,MM
SMON26-B,Cinerea,MM
SMON27-A,Backcross,MM
SMON27-B,Backcross,MM
SNAT03-A,Selysi,MP
SNAT03-B,Selysi,PP
SNAT04-A,Selysi,MP
SNAT04-B,Selysi,PP
SNAT10-A,Selysi,MM
SNAT10-B,Selysi,MM
SNAT11-A,Backcross,MM
SNAT11-B,Cinerea,MM
SNAT12-A,Selysi,MM
SNAT12-B,Selysi,MM
SNAT13-A,Hybrid,MM
SNAT13-B,Hybrid,MM
SNAT14-A,Selysi,PP
SNAT14-B,Selysi,PP
SNAT15-A,Selysi,MM
SNAT15-B,Selysi,MM
SNAT16-A,Selysi,MP
SNAT16-B,Selysi,MP
SRID01-A,Selysi,MP
SRID01-B,Selysi,MP
SRID08-A,Selysi,MP
SRID08-B,Selysi,PP
SRID10-A,Selysi,MP
SRID10-B,Selysi,PP
SRID12-A,Selysi,PP
SRID12-B,Selysi,MP
SRID13-A,Selysi,PP
SRID13-B,Selysi,MP
SRID14-A,Selysi,MP
SRID14-B,Selysi,PP
SRID15-A,Selysi,PP
SRID15-B,Selysi,MP
SRID16-A,Backcross,MP
SRID16-B,Selysi,MP
SRID17-A,Selysi,MP
SRID17-B,Selysi,PP
SRID18-A,Selysi,PP
SRID18-B,Selysi,MP
SSAI05-A,Cinerea,MP
SSAI05-B,Cinerea,MP
SSAI08-A,Cinerea,MP
SSAI08-B,Cinerea,MP
SSAI11-A,Cinerea,PP
SSAI11-B,Cinerea,MP
SSAI12-A,Backcross,MP
SSAI12-B,Backcross,PP
SSAI13-A,Cinerea,MM
SSAI13-B,Cinerea,MM
SSAI14-A,Cinerea,MM
SSAI14-B,Cinerea,MM
SSAI15-A,Cinerea,MM
SSAI16-A,Cinerea,MM
SSAI16-B,Cinerea,MM
SSIE01-A,Selysi,MM
SSIE01-B,Selysi,MM
SSIE02-A,Selysi,MM
SSIE02-B,Selysi,MM
SSIE04-A,Selysi,MM
SSIE04-B,Selysi,MM
SSIE05-A,Selysi,MP
SSIE05-B,Selysi,MP
SSIE06-A,Selysi,MM
SSIE06-B,Selysi,MM
SSIE07-A,Cinerea,MM
SSIE07-B,Backcross,MM
SSIO01-A,Backcross,MP
SSIO01-B,Cinerea,PP
SSIO02-A,Backcross,MM
SSIO02-B,Cinerea,MM
SSIO03-A,Backcross,MM
SSIO03-B,Cinerea,MM
SSIO04-A,Cinerea,MM
SSIO04-B,Backcross,MM
SSIO05-A,Backcross,MM
SSIO05-B,Backcross,MM
SSIO06-A,Backcross,MM
SSIO06-B,Cinerea,MM
SSIO07-A,Cinerea,PP
SSIO07-B,Cinerea,PP
SVIS01-A,Backcross,MM
SVIS01-B,Selysi,MM
SVIS02-A,Hybrid,MM
SVIS02-B,Hybrid,MM
SVIS05-A,Selysi,MM
SVIS05-B,Selysi,MM
SVIS06-A,Selysi,MM
SVIS06-B,Selysi,MM
SVIS07-A,Selysi,MP
SVIS07-B,Hybrid,MP
SVIS08-A,Selysi,MM
SVIS08-B,Selysi,MM
SVIS09-A,Selysi,MM
SVIS09-B,Selysi,MM
SVIS10-A,Cinerea,MM
SVIS10-B,Backcross,MM
SVIS11-A,Backcross,MM
SVIS11-B,Selysi,MM
