scheme,sd_multiplier,species,n_strong,n_high_FST,n_strong_high_FST,fisher_p,odds_ratio
Martigny_only,1,Cinerea,1169,350,125,4.023586943334084e-8,1.9383787202716458
Martigny_only,1,Selysi,1610,350,137,0.003542726131355322,1.4033448832463566
Martigny_only,1.5,Cinerea,789,350,98,1.003870379065133e-9,2.248463334774844
Martigny_only,1.5,Selysi,1250,350,116,3.1248920148859506e-4,1.5530400385690415
Martigny_only,2,Cinerea,527,350,82,2.8633629028037906e-13,2.915767693437026
Martigny_only,2,Selysi,966,350,90,0.0018995373859684822,1.505790185503011
broad_original,1,Cinerea,852,350,100,2.0203461490292905e-8,2.0927292587001807
broad_original,1,Selysi,284,350,47,9.9081535984093e-9,2.9115873374193115
broad_original,1.5,Cinerea,468,350,69,4.080177866136469e-10,2.6382110773907526
broad_original,1.5,Selysi,272,350,50,6.134421516108491e-11,3.350833634021683
broad_original,2,Cinerea,283,350,54,1.979291121600943e-12,3.549812913852878
broad_original,2,Selysi,252,350,49,1.1687144972227864e-11,3.594110542937834
no_Martigny,1,Cinerea,1700,350,141,0.00831983102097845,1.3534694253006438
no_Martigny,1,Selysi,271,350,48,5.924918859368676e-10,3.1805309640171044
no_Martigny,1.5,Cinerea,1112,350,105,3.793554010654573e-4,1.566024326106298
no_Martigny,1.5,Selysi,260,350,52,7.836308906293706e-13,3.7563054215898757
no_Martigny,2,Cinerea,715,350,83,6.922349056385319e-7,1.9942291544070656
no_Martigny,2,Selysi,253,350,57,1.8558524863908607e-16,4.455252840517606
no_Monthey,1,Cinerea,936,350,110,2.130953971212312e-9,2.142025434883791
no_Monthey,1,Selysi,256,350,48,7.545998960796186e-11,3.4212366813421946
no_Monthey,1.5,Cinerea,571,350,83,9.411838281232851e-12,2.674099800787458
no_Monthey,1.5,Selysi,270,350,52,3.7027558097426935e-12,3.5754888218276846
no_Monthey,2,Cinerea,344,350,62,5.163931882719542e-13,3.3614730721776245
no_Monthey,2,Selysi,255,350,53,8.773495312068632e-14,3.9605457775322326
no_Visp,1,Cinerea,958,350,102,1.9212600027469608e-6,1.8403767676719733
no_Visp,1,Selysi,926,350,102,3.1642596112303836e-7,1.9279544549296577
no_Visp,1.5,Cinerea,579,350,81,1.571142645579653e-10,2.5322501620285234
no_Visp,1.5,Selysi,668,350,81,1.8481471894938366e-7,2.1028078738008684
no_Visp,2,Cinerea,351,350,62,1.3228162477564692e-12,3.274917166467174
no_Visp,2,Selysi,469,350,61,7.746345350909261e-7,2.2131611442809027
strict_all_F1_sites,1,Cinerea,804,350,93,1.3539053305370832e-7,2.0232964756162413
strict_all_F1_sites,1,Selysi,263,350,51,4.675338914024245e-12,3.598704214244502
strict_all_F1_sites,1.5,Cinerea,473,350,76,6.231487905420979e-13,2.9961647099940807
strict_all_F1_sites,1.5,Selysi,258,350,53,1.4544730518555632e-13,3.9000521828214896
strict_all_F1_sites,2,Cinerea,268,350,54,1.9266777364991306e-13,3.8118289404571986
strict_all_F1_sites,2,Selysi,253,350,55,3.584442314829993e-15,4.2249375060058965
