scheme,sd_multiplier,species,n_strong,n_high_FST,n_strong_high_FST,fisher_p,odds_ratio
Martigny_only,1,Cinerea,1169,350,125,4.023586943334084e-8,1.9383787202716458
Martigny_only,1,Selysi,1610,350,137,0.003542726131355322,1.4033448832463566
Martigny_only,1.5,Cinerea,789,350,98,1.003870379065133e-9,2.248463334774844
Martigny_only,1.5,Selysi,1250,350,116,3.1248920148859506e-4,1.5530400385690415
Martigny_only,2,Cinerea,527,350,82,2.8633629028037906e-13,2.915767693437026
Martigny_only,2,Selysi,966,350,90,0.0018995373859684822,1.505790185503011
broad_original,1,Cinerea,852,350,100,2.0203461490292905e-8,2.0927292587001807
broad_original,1,Selysi,480,350,78,1.0258546791487917e-13,3.05542643224405
broad_original,1.5,Cinerea,468,350,69,4.080177866136469e-10,2.6382110773907526
broad_original,1.5,Selysi,555,350,101,7.867278455749863e-22,3.7808054344101274
broad_original,2,Cinerea,556,350,97,1.6669141973111355e-19,3.530328530550729
broad_original,2,Selysi,268,350,61,7.945924826181153e-18,4.565752425397016
no_Martigny,1,Cinerea,1700,350,141,0.00831983102097845,1.3534694253006438
no_Martigny,1,Selysi,421,350,70,7.892705518205519e-13,3.087301853669603
no_Martigny,1.5,Cinerea,1112,350,105,3.793554010654573e-4,1.566024326106298
no_Martigny,1.5,Selysi,404,350,82,1.3126202809143923e-20,4.145903875793231
no_Martigny,2,Cinerea,715,350,83,6.922349056385319e-7,1.9942291544070656
no_Martigny,2,Selysi,481,350,85,2.574565295729771e-17,3.4741703279475917
no_Monthey,1,Cinerea,936,350,110,2.130953971212312e-9,2.142025434883791
no_Monthey,1,Selysi,475,350,80,5.455620376317761e-15,3.218403748078508
no_Monthey,1.5,Cinerea,571,350,83,9.411838281232851e-12,2.674099800787458
no_Monthey,1.5,Selysi,491,350,90,1.6766664930895978e-19,3.698729995065131
no_Monthey,2,Cinerea,344,350,62,5.163931882719542e-13,3.3614730721776245
no_Monthey,2,Selysi,589,350,105,4.869712447542418e-22,3.720625051136203
no_Visp,1,Cinerea,958,350,102,1.9212600027469608e-6,1.8403767676719733
no_Visp,1,Selysi,926,350,102,3.1642596112303836e-7,1.9279544549296577
no_Visp,1.5,Cinerea,579,350,81,1.571142645579653e-10,2.5322501620285234
no_Visp,1.5,Selysi,668,350,81,1.8481471894938366e-7,2.1028078738008684
no_Visp,2,Cinerea,351,350,62,1.3228162477564692e-12,3.274917166467174
no_Visp,2,Selysi,469,350,61,7.746345350909261e-7,2.2131611442809027
strict_all_F1_sites,1,Cinerea,804,350,93,1.3539053305370832e-7,2.0232964756162413
strict_all_F1_sites,1,Selysi,369,350,67,3.3310931131300276e-14,3.4361224380334727
strict_all_F1_sites,1.5,Cinerea,473,350,76,6.231487905420979e-13,2.9961647099940807
strict_all_F1_sites,1.5,Selysi,376,350,79,8.183659615823406e-21,4.306866871788151
strict_all_F1_sites,2,Cinerea,268,350,54,1.9266777364991306e-13,3.8118289404571986
strict_all_F1_sites,2,Selysi,468,350,90,5.3327586685596936e-21,3.944531451363736
