locality,Cinerea,F1,Selysi,scheme
SMAR,7,3,3,strict_all_F1_sites
SMON,9,2,0,strict_all_F1_sites
SVIS,2,3,11,strict_all_F1_sites
SMAR,7,3,3,no_Monthey
SVIS,2,3,11,no_Monthey
SMON,9,2,0,no_Martigny
SVIS,2,3,11,no_Martigny
SMAR,7,3,3,no_Visp
SMON,9,2,0,no_Visp
SMAR,7,3,3,Martigny_only
SARD,22,0,0,broad_original
SEVI,8,0,0,broad_original
SFIN,0,0,20,broad_original
SFUL,13,0,0,broad_original
SLEO,12,0,0,broad_original
SMAR,7,3,3,broad_original
SMON,9,2,0,broad_original
SNAT,2,0,14,broad_original
SRID,0,0,19,broad_original
SSAI,16,0,0,broad_original
SSIE,1,0,10,broad_original
SSIO,9,0,0,broad_original
SVIS,2,3,11,broad_original
